email, currencies, bools, nums
adwda@awdad.com,"$50,123.12 ", T,2
ad2ad123@dahl.org,"$50,123.12 ", F,2
adawd23123@adwah.edu,"$12,321.00 ", True,1
adawd23123@adwah.edu,$12.00 , False,3
adawd23123@adwah.edu,"$129,412.02 ", False,3
adwda@awdad.com,"$50,123.12 ", T,3
ad2ad123@dahl.org,"$50,123.12 ", F,4
adawd23123@adwah.edu,"$12,321.00 ", True,4
adawd23123@adwah.edu,$12.00 , False,5
adawd23123@adwah.edu,"$129,412.02 ", False,5
adwda@awdad.com,"$50,123.12 ", T,6
ad2ad123@dahl.org,"$50,123.12 ", F,7
adawd23123@adwah.edu, £.45, True,8
adawd23123@adwah.edu, £.45, False,9
adawd23123@adwah.edu, £.45, False,10
adawd23123@adwah.edu,"$12,321.00 ",Yes,11
adawd23123@adwah.edu,$12.00 ,YES,12
adawd23123@adwah.edu,"$129,412.02 ",y,13
adwda@awdad.com,"$50,123.12 ",no,14
ad2ad123@dahl.org,"$50,123.12 ",NO,15
adawd23123@adwah.edu, £.45,n,16
adawd23123@adwah.edu, £.45,N,17
adawd23123@adwah.edu, £.45,N,18
