email, currencies, bools
adwda@awdad.com, $50123.12, T
ad2ad123@dahl.org, $50123.12, F
adawd23123@adwah.edu, $12321.00, True
adawd23123@adwah.edu, $12.00, False
adawd23123@adwah.edu, $129412.02, False
adwda@awdad.com, $50123.12, T
ad2ad123@dahl.org, $50123.12, F
adawd23123@adwah.edu, $12321.00, True
adawd23123@adwah.edu, $12.00, False
adawd23123@adwah.edu, $129412.02, False
adwda@awdad.com, $50123.12, T
ad2ad123@dahl.org, $50123.12, F
adawd23123@adwah.edu, $12321.00, True
adawd23123@adwah.edu, $12.00, False
adawd23123@adwah.edu, $129412.02, False
,,,,
